"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","抖音本地生活榜","","0","0","141","0","0"
"","抖音销量榜","","5","0","108","0","0"
"","涨粉达人榜","验证涨粉达人榜日榜、周榜、月榜地区筛选条件验证","0","0","1077","0","0"
"","抖音小店库","验证抖音小店库近30日销售额、近30日客单价筛选与详情页校验","0","0","24","0","0"
"","达人库","验证达人库地区筛选是否正确","0","0","359","0","0"
"","涨粉达人榜","验证涨粉达人榜日榜、周榜、月榜遍历商品大类返回的数据是否大于20条","0","0","81","0","0"
"","达人库","验证达人库遍历达人和商品一级分类是否有返回数据","0","0","621","0","0"
"","带货视频库","","0","0","73","0","0"
"","热门视频榜","验证热门视频小时榜遍历达人大类返回的数据是否大于0条","0","0","108","0","0"
"","预热视频分析","","0","0","62","0","0"
"","蓝v达人榜","验证蓝v达人榜日榜、周榜、月榜遍历商品大类返回的数据是否大于20条","0","0","81","0","0"
"","抖音热推榜","","3","0","85","0","0"
"","直播商品榜","","0","0","84","0","0"
"","抖音小店库","验证抖音小店库、销量、销售额、升序、降序排序是否正确","0","0","6","0","0"
"","直播库","","0","0","65","0","0"
"","选品库","","0","0","162","0","0"
"","行业达人榜","验证行业达人榜日榜、周榜、月榜遍历商品大类返回的数据是否大于20条","0","0","81","0","0"
"","成长达人榜","验证成长达人榜日榜、周榜、月榜遍历商品大类返回的数据是否大于20条","0","0","81","0","0"
"","地区达人榜","验证地区达人榜日榜、周榜、月榜遍历商品大类返回的数据是否大于20条","0","0","93","0","0"
"","抖音品牌库","验证抖音品牌库近30日销售额筛选与详情页校验","0","0","12","0","0"
"","带货视频榜","验证带货视频榜遍历商品一级级分类返回的数据是否大于0条","0","0","69","0","0"
"","抖音品牌库","验证抖音品牌库遍历商品大类返回的数据是否大于20条","0","0","23","0","0"
"","视频涨粉指数榜","","0","0","1","0","0"
"","达人带货榜","","1","0","83","0","0"
"","小时探测榜","","0","0","21","0","0"
"","达人库","验证达人库认证类型筛选是否正确","0","0","2","0","0"
"","抖音小店榜","验证抖音小店榜日榜、周榜、月榜遍历商品大类返回的数据是否大于20条","0","0","69","0","0"
"","热门视频榜","验证热门视频小时榜排序验证","0","0","4","0","0"
"","视频库","","19","0","75","0","0"
"","抖音品牌库","验证抖音品牌库、销量、销售额、升序、降序排序是否正确","0","0","6","0","0"
"","商品品牌榜","验证商品品牌榜日榜、周榜、月榜遍历商品大类返回的数据是否大于20条","0","0","69","0","0"
"","抖音小店库","验证抖音小店库遍历商品大类返回的数据是否大于20条","0","0","23","0","0"
"","全天销量榜","","0","0","30","0","0"
"","热门视频榜","验证热门视频日、周、月榜遍历达人大类返回的数据是否大于0条","0","0","81","0","0"
"","带货小时榜","","10","0","51","0","0"
"","直播风车榜","","0","0","81","0","0"
"","抖音官方小时榜","","10","0","35","0","0"
"","今日带货榜","","0","0","56","0","0"
"","直播实时热榜","","9","0","19","0","0"
"","每日探测榜","","0","0","14","0","0"
"","mcn榜","验证mcn榜日榜、周榜、月榜是否返回的数据是否大于10条","0","0","12","0","0"
"","实时销量榜","","1","0","29","0","0"
"","达人库","验证达人库排序是否正确","0","0","14","0","0"
"","商品品牌榜","验证商品品牌榜日榜、周榜、月榜按销量和销售降序排序是否正确","0","0","6","0","0"
"","达人收藏","","0","0","8","0","0"
"","涨粉达人榜","验证涨粉达人榜日榜、周榜、月榜带货达人筛选条件验证","0","0","6","0","0"
"","直播分享榜","","0","0","2","0","0"
"","抖音小店榜","验证抖音小店榜日榜、周榜、月榜按销量和销售降序排序是否正确","0","0","6","0","0"
"","视频精选潜力榜","","0","0","1","0","0"
"","带货视频榜","验证带货视频榜按销量和销售额，点赞数降序排序是否正确","0","0","9","0","0"
"","抖音小店库","验证抖音小店库商品体验分筛选校验","0","0","4","0","0"
"","音乐库","","0","0","6","0","0"
"","话题榜","验证昨日话题榜返回的数据是否大于0条","0","0","1","0","0"
"","热门视频榜","验证热门视频日、周、月榜排序验证","0","0","3","0","0"
"","商品收藏","","0","0","5","0","0"
"","达人库","验证达人库低粉爆款达人筛选是否正确","0","0","1","0","0"
"","视频传播指数榜","","0","0","1","0","0"
"","视频达人指数榜","","0","0","1","0","0"
"","七日探测榜","","0","0","1","0","0"
"","话题榜","验证昨日话题榜排序","0","0","2","0","0"
"","达人库","验证达人库性别筛选是否正确","0","0","2","0","0"
"","商品分享榜","验证商品分享榜周榜和月榜数据是否大于20条","0","0","2","0","0"
"","达人库","验证达人库商品橱窗筛选是否正确","0","0","1","0","0"
"","视频种草指数榜","","0","0","1","0","0"
"","达人库","验证达人库直播达人筛选是否正确","0","0","1","0","0"
"","商品分享榜","验证商品分享榜日榜数据是否大于20条","0","0","1","0","0"
