"Status","Name","Duration in ms","Description"
"passed","Testcase.aweme_material.test_poi_rank.TestCase_Poi_Rank#test_poi_rank_get_label","1195","验证抖音本地生活榜查看任意分类"
"passed","Testcase.product.test_rank_yesterdaySaleRank.TestCase_Rank_YesterdaySaleRank#test_yesterdaySaleRank_big_category","634","验证抖音销量榜日榜、周榜、月榜遍历商品一级分类返回的数据是否大于20条"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","230",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","187",""
"passed","Testcase.shop_brand.test_shop_search.TestCase_Shop_Search#test_shop_search_avg","15768",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_city_type","185",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_product_type","335",""
"passed","Testcase.author.test_author_search.TestCase_Author_Search#test_author_search_star_product_category","307",""
"passed","Testcase.aweme_material.test_aweme_product_search.TestCase_Aweme_Product_Search#test_aweme_product_search_durations","664","验证带货视频库按视频时长筛选，数据是否正确"
"passed","Testcase.aweme_material.test_rank_hotAweme.TestCase_Rank_HotAweme#test_rank_hotAweme_hour_big_type","514",""
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_product_type","343",""
"passed","Testcase.live.test_live_warm.TestCase_Live_Warm#test_warm_star_category","763","验证预热视频分析近7天遍历达人一级分类是否有返回数据"
"passed","Testcase.author.test_author_rank_fans.TestCase_Author_Rank_Fans#test_author_rank_is_city","299",""
"passed","Testcase.author.test_authorRank_bangNew_E.TestCase_AuthorRank_BangNew_E#test_authorRank_bangNew_E_star_type","458",""
"passed","Testcase.product.test_rank_yesterdayHotRank.TestCase_Rank_YesterdayHotRank#test_yesterdayHotRank_big_category","330","验证抖音热推榜日榜、周榜、月榜遍历商品一级分类返回的数据是否大于20条"
"passed","Testcase.product.test_rank_yesterdaySaleRank.TestCase_Rank_YesterdaySaleRank#test_yesterdaySaleRank_big_category","360","验证抖音销量榜日榜、周榜、月榜遍历商品一级分类返回的数据是否大于20条"
