"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","验证达人播筛选是否有数据","0","1","0","0","0"
"","","验证黑马筛选是否有数据","0","0","1","0","0"
"","","验证密码登录","0","0","1","0","0"
"","","验证商品分类筛选是否有数据","0","0","1","0","0"
"","","验证搜索框搜索功能","0","0","1","0","0"
"","","验证店播筛选是否有数据","0","0","1","0","0"
"","","验证商品橱窗筛选是否有数据","0","0","3","0","0"
"","","验证星图达人筛选是否有数据","0","0","1","0","0"
"","","验证验证码登录","0","1","0","0","0"
"","","验证品牌自播筛选是否有数据","0","0","1","0","0"
"","","验证忘记密码","0","1","0","0","0"
"","","验证达人分类筛选是否有数据","0","0","1","0","0"
